iter	Passed	Remaining
772	12685	3725
773	12696	3707
774	12707	3689
775	12719	3671
776	12730	3653
777	12745	3636
778	12756	3619
779	12770	3601
780	12781	3584
781	12796	3567
782	12804	3548
783	12816	3530
784	12830	3514
785	12840	3496
786	12852	3478
787	12862	3460
788	12873	3442
789	12885	3425
790	12898	3407
791	12910	3390
792	12922	3373
793	12938	3356
794	12951	3339
795	12962	3322
796	12973	3304
797	12983	3286
798	12998	3269
799	13008	3252
800	13021	3235
801	13031	3217
802	13040	3199
803	13052	3181
804	13063	3164
805	13074	3146
806	13084	3129
807	13098	3112
808	13109	3095
809	13124	3078
810	13132	3060
811	13141	3042
812	13154	3025
813	13167	3008
814	13175	2990
815	13186	2973
816	13203	2957
817	13214	2940
818	13227	2923
819	13237	2905
820	13250	2889
821	13260	2871
822	13271	2854
823	13285	2837
824	13296	2820
825	13311	2804
826	13322	2787
827	13333	2769
828	13345	2752
829	13354	2735
830	13365	2718
831	13376	2700
832	13386	2683
833	13398	2666
834	13407	2649
835	13417	2632
836	13430	2615
837	13438	2597
838	13450	2581
839	13458	2563
840	13467	2546
841	13476	2528
842	13487	2511
843	13496	2494
844	13505	2477
845	13515	2460
846	13523	2442
847	13532	2425
848	13542	2408
849	13553	2391
850	13563	2374
851	13571	2357
852	13579	2340
853	13589	2323
854	13597	2306
855	13606	2288
856	13618	2272
857	13629	2255
858	13637	2238
859	13645	2221
860	13655	2204
861	13664	2187
862	13673	2170
863	13681	2153
864	13689	2136
865	13699	2119
866	13709	2103
867	13718	2086
868	13728	2069
869	13739	2053
870	13746	2035
871	13754	2018
872	13762	2002
873	13770	1985
874	13776	1968
875	13783	1951
876	13790	1934
877	13796	1917
878	13803	1900
879	13809	1883
880	13815	1866
881	13822	1849
882	13828	1832
883	13834	1815
884	13840	1798
885	13846	1781
886	13855	1765
887	13860	1748
888	13868	1731
889	13874	1714
890	13881	1698
891	13888	1681
892	13895	1665
893	13903	1648
894	13911	1632
895	13918	1615
896	13923	1598
897	13930	1582
898	13937	1565
899	13943	1549
900	13951	1532
901	13959	1516
902	13966	1500
903	13972	1483
904	13979	1467
905	13985	1451
906	13990	1434
907	13996	1418
908	14002	1401
909	14008	1385
910	14016	1369
911	14023	1353
912	14031	1337
913	14038	1320
914	14045	1304
915	14052	1288
916	14058	1272
917	14065	1256
918	14072	1240
919	14078	1224
920	14084	1208
921	14090	1192
922	14097	1176
923	14105	1160
924	14111	1144
925	14119	1128
926	14124	1112
927	14129	1096
928	14134	1080
929	14142	1064
930	14146	1048
931	14150	1032
932	14154	1016
933	14158	1000
934	14162	984
935	14166	968
936	14170	952
937	14174	936
938	14179	921
939	14183	905
940	14187	889
941	14191	873
942	14195	858
943	14199	842
944	14203	826
945	14207	811
946	14212	795
947	14216	779
948	14220	764
949	14224	748
950	14228	733
951	14232	717
952	14237	702
953	14241	686
954	14245	671
955	14249	655
956	14253	640
957	14257	625
958	14261	609
959	14265	594
960	14269	579
961	14273	563
962	14277	548
963	14281	533
964	14285	518
965	14289	502
966	14293	487
967	14297	472
968	14301	457
969	14306	442
970	14310	427
971	14314	412
972	14318	397
973	14322	382
974	14326	367
975	14330	352
976	14334	337
977	14339	322
978	14343	307
979	14347	292
980	14351	277
981	14356	263
982	14360	248
983	14364	233
984	14368	218
985	14372	204
986	14376	189
987	14380	174
988	14384	159
989	14388	145
990	14392	130
991	14396	116
992	14400	101
993	14405	86
994	14408	72
995	14412	57
996	14417	43
997	14421	28
998	14425	14
999	14429	0
20	60
996	15126	45
997	15133	30
998	15140	15
999	15147	0
98	15966	15
999	15975	0
997	16349	32
998	16357	16
999	16367	0
3	191
990	18958	172
991	18971	152
992	18986	133
993	18996	114
994	19005	95
995	19017	76
996	19029	57
997	19039	38
998	19053	19
999	19067	0
349	102
995	20381	81
996	20397	61
997	20409	40
998	20424	20
999	20440	0
9	23980	0
7	27196	54
998	27228	27
999	27258	0
5
998	27895	27
999	27914	0
